rank,tag_id,canonical_name,relation_count,completeness_score,bucket,missing_fields
1,env.v2a_070.prospect_refuge_ability_to_see_without_being_seen,Prospect–refuge: ability to see without being seen,4,100,P2,
2,env.ae.artworks_prominent,Artworks Prominent,2,100,P2,
3,env.ae.barriers/guards_present,Barriers/Guards Present,2,100,P2,
4,env.ae.clear_circulation_paths,Clear Circulation Paths,2,100,P2,
5,env.ae.clear_exits/wayfinding_signage,Clear Exits/Wayfinding Signage,2,100,P2,
6,env.ae.clear_sightlines,Clear Sightlines,2,100,P2,
7,env.ae.commercial_branding,Commercial Branding,2,100,P2,
8,env.ae.compartmentalized_plan,Compartmentalized Plan,2,100,P2,
9,env.ae.complex_geometry,Complex Geometry,2,100,P2,
10,env.ae.concrete_prominent,Concrete Prominent,2,100,P2,
11,env.ae.cool_color_palette,Cool Color Palette,2,100,P2,
12,env.ae.cool_lighting_(high_cct),Cool Lighting (High CCT),2,100,P2,
13,env.ae.crowded_space,Crowded Space,2,100,P2,
14,env.ae.curvilinear_forms,Curvilinear Forms,2,100,P2,
15,env.ae.daylighting,Daylighting,2,100,P2,
16,env.ae.dynamic_lighting,Dynamic Lighting,2,100,P2,
17,env.ae.fans_visible,Fans Visible,2,100,P2,
18,env.ae.fractal-like_pattern,Fractal-Like Pattern,2,100,P2,
19,env.ae.glare_present,Glare Present,2,100,P2,
20,env.ae.glass_prominent,Glass Prominent,2,100,P2,
21,env.ae.hard_reflective_surfaces,Hard Reflective Surfaces,2,100,P2,
22,env.ae.hard_seating,Hard Seating,2,100,P2,
23,env.ae.hazard_indicators,Hazard Indicators,2,100,P2,
24,env.ae.high_ceiling,High Ceiling,2,100,P2,
25,env.ae.high_ceiling_+_hard_surfaces,High Ceiling + Hard Surfaces,2,100,P2,
