tag_id,model_family,feature_signal,threshold,abstain_rule
env.ae.high_ceiling,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
env.ae.high_ceiling_+_hard_surfaces,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
env.ae.low_ceiling,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
affect.cozy,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
affect.jarring,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
affect.scary,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
affect.tranquil,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
affect.welcoming,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.coherence,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.complexity,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.error,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.legibility,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.mystery,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
cognitive.restoration,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
provenance.architect_kengo_kuma,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
provenance.architect_le_corbusier,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
provenance.iconic_chair_barcelona,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
provenance.iconic_chair_eames,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
psych.coziness,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
tag.evidence_pointer,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
tag.request_source,metadata_ingestion,survey/annotation evidence,evidence_present==true,no validated metadata
